absorber_thickness,defect_density,series_resistance,shunt_resistance,PCE (%)
1.30E+00,1.00E+14,1.00E+00,1.00E+04,2.80E+01
1.30E+00,1.00E+14,1.00E+00,1.00E+05,2.81E+01
1.30E+00,1.00E+14,1.00E+00,1.00E+06,2.82E+01
1.30E+00,1.00E+14,1.00E+00,1.00E+07,2.82E+01
1.30E+00,1.00E+15,1.00E+00,1.00E+02,1.44E+01
1.30E+00,1.00E+15,1.00E+00,1.00E+03,2.50E+01
1.30E+00,1.00E+15,1.00E+00,1.00E+04,2.61E+01
1.30E+00,1.00E+15,1.00E+00,1.00E+05,2.62E+01
1.30E+00,1.00E+15,1.00E+00,1.00E+06,2.62E+01
1.30E+00,1.00E+15,1.00E+00,1.00E+07,2.62E+01
1.30E+00,1.00E+16,1.00E+00,1.00E+02,1.26E+01
1.30E+00,1.00E+16,1.00E+00,1.00E+03,2.14E+01
1.30E+00,1.00E+16,1.00E+00,1.00E+04,2.24E+01
1.30E+00,1.00E+16,1.00E+00,1.00E+05,2.25E+01
1.30E+00,1.00E+16,1.00E+00,1.00E+06,2.25E+01
1.30E+00,1.00E+16,1.00E+00,1.00E+07,2.25E+01
1.30E+00,1.00E+17,1.00E+00,1.00E+02,1.02E+01
1.30E+00,1.00E+17,1.00E+00,1.00E+03,1.67E+01
1.30E+00,1.00E+17,1.00E+00,1.00E+04,1.74E+01
1.30E+00,1.00E+17,1.00E+00,1.00E+05,1.75E+01
1.30E+00,1.00E+17,1.00E+00,1.00E+06,1.75E+01
1.30E+00,1.00E+17,1.00E+00,1.00E+07,1.75E+01
1.40E+00,1.00E+13,1.00E+00,1.00E+02,1.52E+01
1.40E+00,1.00E+13,1.00E+00,1.00E+03,2.82E+01
1.40E+00,1.00E+13,1.00E+00,1.00E+04,2.95E+01
1.40E+00,1.00E+13,1.00E+00,1.00E+05,2.96E+01
1.40E+00,1.00E+13,1.00E+00,1.00E+06,2.96E+01
1.40E+00,1.00E+13,1.00E+00,1.00E+07,2.96E+01
1.40E+00,1.00E+14,1.00E+00,1.00E+02,1.50E+01
1.40E+00,1.00E+14,1.00E+00,1.00E+03,2.68E+01
1.40E+00,1.00E+14,1.00E+00,1.00E+04,2.80E+01
1.40E+00,1.00E+14,1.00E+00,1.00E+05,2.81E+01
1.40E+00,1.00E+14,1.00E+00,1.00E+06,2.82E+01
1.40E+00,1.00E+14,1.00E+00,1.00E+07,2.82E+01
1.40E+00,1.00E+15,1.00E+00,1.00E+02,1.44E+01
1.40E+00,1.00E+15,1.00E+00,1.00E+03,2.49E+01
1.40E+00,1.00E+15,1.00E+00,1.00E+04,2.60E+01
1.40E+00,1.00E+15,1.00E+00,1.00E+05,2.61E+01
1.40E+00,1.00E+15,1.00E+00,1.00E+06,2.62E+01
1.40E+00,1.00E+15,1.00E+00,1.00E+07,2.62E+01
1.40E+00,1.00E+16,1.00E+00,1.00E+02,1.26E+01
1.40E+00,1.00E+16,1.00E+00,1.00E+03,2.14E+01
1.40E+00,1.00E+16,1.00E+00,1.00E+04,2.23E+01
1.40E+00,1.00E+16,1.00E+00,1.00E+05,2.24E+01
1.40E+00,1.00E+16,1.00E+00,1.00E+06,2.25E+01
1.40E+00,1.00E+16,1.00E+00,1.00E+07,2.25E+01
1.40E+00,1.00E+17,1.00E+00,1.00E+02,1.02E+01
1.40E+00,1.00E+17,1.00E+00,1.00E+03,1.67E+01
1.40E+00,1.00E+17,1.00E+00,1.00E+04,1.74E+01
1.40E+00,1.00E+17,1.00E+00,1.00E+05,1.75E+01
1.40E+00,1.00E+17,1.00E+00,1.00E+06,1.75E+01
1.40E+00,1.00E+17,1.00E+00,1.00E+07,1.75E+01
3.00E-01,1.00E+13,2.00E+00,1.00E+02,1.01E+01
3.00E-01,1.00E+13,2.00E+00,1.00E+03,2.29E+01
3.00E-01,1.00E+13,2.00E+00,1.00E+04,2.43E+01
3.00E-01,1.00E+13,2.00E+00,1.00E+05,2.44E+01
3.00E-01,1.00E+13,2.00E+00,1.00E+06,2.45E+01
3.00E-01,1.00E+13,2.00E+00,1.00E+07,2.45E+01
3.00E-01,1.00E+14,2.00E+00,1.00E+02,1.01E+01
3.00E-01,1.00E+14,2.00E+00,1.00E+03,2.21E+01
3.00E-01,1.00E+14,2.00E+00,1.00E+04,2.34E+01
3.00E-01,1.00E+14,2.00E+00,1.00E+05,2.35E+01
3.00E-01,1.00E+14,2.00E+00,1.00E+06,2.35E+01
3.00E-01,1.00E+14,2.00E+00,1.00E+07,2.35E+01
3.00E-01,1.00E+15,2.00E+00,1.00E+02,1.00E+01
3.00E-01,1.00E+15,2.00E+00,1.00E+03,2.09E+01
3.00E-01,1.00E+15,2.00E+00,1.00E+04,2.20E+01
3.00E-01,1.00E+15,2.00E+00,1.00E+05,2.22E+01
3.00E-01,1.00E+15,2.00E+00,1.00E+06,2.22E+01
3.00E-01,1.00E+15,2.00E+00,1.00E+07,2.22E+01
3.00E-01,1.00E+16,2.00E+00,1.00E+02,9.79E+00
3.00E-01,1.00E+16,2.00E+00,1.00E+03,1.90E+01
3.00E-01,1.00E+16,2.00E+00,1.00E+04,2.00E+01
3.00E-01,1.00E+16,2.00E+00,1.00E+05,2.01E+01
3.00E-01,1.00E+16,2.00E+00,1.00E+06,2.01E+01
3.00E-01,1.00E+16,2.00E+00,1.00E+07,2.01E+01
3.00E-01,1.00E+17,2.00E+00,1.00E+02,9.12E+00
3.00E-01,1.00E+17,2.00E+00,1.00E+03,1.57E+01
3.00E-01,1.00E+17,2.00E+00,1.00E+04,1.64E+01
3.00E-01,1.00E+17,2.00E+00,1.00E+05,1.65E+01
3.00E-01,1.00E+17,2.00E+00,1.00E+06,1.65E+01
3.00E-01,1.00E+17,2.00E+00,1.00E+07,1.65E+01
4.00E-01,1.00E+13,2.00E+00,1.00E+02,1.16E+01
4.00E-01,1.00E+13,2.00E+00,1.00E+03,2.46E+01
4.00E-01,1.00E+13,2.00E+00,1.00E+04,2.59E+01
4.00E-01,1.00E+13,2.00E+00,1.00E+05,2.61E+01
4.00E-01,1.00E+13,2.00E+00,1.00E+06,2.61E+01
4.00E-01,1.00E+13,2.00E+00,1.00E+07,2.61E+01
